Retail,Name,Price,Category,Img,Link,Quantity,Unit,Date of Update,Name Cleaned
Coop,Glyngøre sprødbagt sejfilet med,35,,https://image-transformer-api.tjek.com/?_id=v2.6&h=362&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fc9a91e36de7358499b4975d94df32af6%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fec5b3a994619e0815cec9e5a010bdf99&w=828&s=2caa5f50698468b874cf5054b6a48e30,,250-325,g,2025-04-27,glyngøre sprødbagt sejfilet med
Coop,uden spinat og feta,35,,https://image-transformer-api.tjek.com/?_id=v2.6&h=362&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fc9a91e36de7358499b4975d94df32af6%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fec5b3a994619e0815cec9e5a010bdf99&w=828&s=2caa5f50698468b874cf5054b6a48e30,,250-325,g,2025-04-27,uden spinat og feta
Coop,K-Salat bearnaise-,12,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F5f3b2296ac43027b95187dbaf798cf4e%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F4f69a2c9d8a931675118ca983e080bc5&w=828&s=5cdae4e4123092a9c59098bb283c5e3a,,325,g,2025-04-27,ksalat bearnaise
Coop,chili bearnaise sauce*,12,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F5f3b2296ac43027b95187dbaf798cf4e%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F4f69a2c9d8a931675118ca983e080bc5&w=828&s=5cdae4e4123092a9c59098bb283c5e3a,,325,g,2025-04-27,chili bearnaise sauce
Coop,"Burger boost, Burger boost smoky twist",35,,https://image-transformer-api.tjek.com/?_id=v2.6&h=362&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F76bb702f1020a342c016b1e80305540b%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fc7eeae43c131ce2ed6b1e15bd894c969%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fb22eac67a8ff9107403362a9ffa536e9%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F881bcc6b508267fd3f0c390d69aafd98&w=828&s=2afc9d7aa0e5c366474afc82cd2618a1,,300-475,g,2025-04-27,"burger boost, burger boost smoky twist"
Coop,marineret kamfilet af gris,35,,https://image-transformer-api.tjek.com/?_id=v2.6&h=362&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F76bb702f1020a342c016b1e80305540b%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fc7eeae43c131ce2ed6b1e15bd894c969%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fb22eac67a8ff9107403362a9ffa536e9%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F881bcc6b508267fd3f0c390d69aafd98&w=828&s=2afc9d7aa0e5c366474afc82cd2618a1,,300-475,g,2025-04-27,marineret kamfilet af gris
Coop,Hakket gris/kalv 8-12%,35,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F4b59eeb4d1a04f5d5321dbbfbc21f69f%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F64fd87682a94ead977a8b78c0e8bf2dc&w=828&s=33fdd5b67066a665381e06d1843651d7,,400-500,g,2025-04-27,hakket griskalv
Coop,hakket oksekød 14-18%,35,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F4b59eeb4d1a04f5d5321dbbfbc21f69f%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F64fd87682a94ead977a8b78c0e8bf2dc&w=828&s=33fdd5b67066a665381e06d1843651d7,,400-500,g,2025-04-27,hakket oksekød
Coop,Danske æbler,16,,https://image-transformer-api.tjek.com/?_id=v2&h=947&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F5e7293841b80230eac095500736fb453&w=828&s=9f93b889cb925079da47833b7857510b,,"1,5",kg,2025-04-27,æbler
Coop,Økologisk dansk basilikum,25,,https://image-transformer-api.tjek.com/?_id=v2&h=485&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F687f7c47ddedcf801b2e1259b74406f7&w=207&s=03a9c4e5deb09318d0600d4fe558b168,,,,2025-04-27,basilikum
